confidence,stop_loss_pct,target_pct,hold_candles,final_balance,total_profit,total_trades,wins,losses,win_rate,avg_profit,target_hits,stop_losses
0.5,0.0025,0.007,45,102976.64,2976.64,468,154,314,32.91,6.36,96,284
0.55,0.0015,0.007,15,100271.74,271.74,162,43,119,26.54,1.68,17,110
0.55,0.0015,0.005,15,100075.07,75.07,162,47,115,29.01,0.46,30,106
0.55,0.0025,0.007,15,99938.42,-61.58,162,56,106,34.57,-0.38,21,82
0.55,0.0025,0.005,15,99847.25,-152.75,162,60,102,37.04,-0.94,38,78
0.55,0.002,0.007,15,99690.74,-309.26,162,49,113,30.25,-1.91,19,95
0.55,0.002,0.005,15,99521.12,-478.88,162,53,109,32.72,-2.96,34,91
0.55,0.0015,0.007,30,99332.64,-667.36,162,34,128,20.99,-4.12,25,124
0.5,0.0025,0.007,30,99078.22,-921.78,468,158,310,33.76,-1.97,84,261
0.55,0.0025,0.007,45,98867.84,-1132.16,162,48,114,29.63,-6.99,33,104
0.55,0.002,0.007,30,98462.14,-1537.86,162,42,120,25.93,-9.49,29,112
0.55,0.0015,0.007,45,98447.73,-1552.27,162,32,130,19.75,-9.58,25,129
0.55,0.002,0.007,45,98446.89,-1553.11,162,40,122,24.69,-9.59,30,118
0.55,0.0025,0.007,30,98056.24,-1943.76,162,48,114,29.63,-12.0,31,100
0.5,0.0025,0.007,15,97900.38,-2099.62,468,170,298,36.32,-4.49,44,199
0.5,0.002,0.007,45,97769.88,-2230.12,468,130,338,27.78,-4.77,81,323
0.55,0.0015,0.005,30,97417.02,-2582.98,162,38,124,23.46,-15.94,32,120
0.55,0.0015,0.003,15,97413.82,-2586.18,162,54,108,33.33,-15.96,46,100
0.5,0.002,0.007,15,96951.89,-3048.11,468,152,316,32.48,-6.51,38,234
0.55,0.0015,0.005,45,96931.72,-3068.28,162,36,126,22.22,-18.94,34,125
0.5,0.002,0.007,30,96607.75,-3392.25,468,134,334,28.63,-7.25,75,307
0.55,0.0025,0.005,45,96404.75,-3595.25,162,52,110,32.1,-22.19,45,100
0.5,0.0015,0.007,30,96183.32,-3816.68,468,104,364,22.22,-8.16,65,352
0.55,0.0015,0.003,30,96179.36,-3820.64,162,49,113,30.25,-23.58,47,110
0.55,0.002,0.005,45,96144.43,-3855.57,162,44,118,27.16,-23.8,39,114
0.55,0.002,0.005,30,96041.13,-3958.87,162,46,116,28.4,-24.44,37,108
0.5,0.0015,0.007,15,95956.25,-4043.75,468,127,341,27.14,-8.64,34,300
0.55,0.0025,0.005,30,95896.14,-4103.86,162,52,110,32.1,-25.33,42,96
