fold,train_start,train_end,test_start,test_end,total_profit,total_trades,wins,losses,win_rate,avg_profit,target_hits,stop_losses,time_exits
1,2015-02-03 09:15:00,2015-02-26 11:20:00,2015-02-26 11:20:00,2015-03-04 13:40:00,47146.86,162,94,68,58.02,291.03,94,68,0
2,2015-03-13 10:15:00,2015-04-08 12:38:00,2015-04-08 12:39:00,2015-04-16 15:11:00,19359.24,79,42,37,53.16,245.05,42,37,0
3,2015-04-24 12:34:00,2015-05-26 13:36:00,2015-05-26 13:37:00,2015-06-03 09:48:00,31860.22,126,68,58,53.97,252.86,68,58,0
4,2015-06-10 12:05:00,2015-07-02 13:31:00,2015-07-02 13:31:00,2015-07-10 09:42:00,67139.89,202,126,76,62.38,332.38,126,76,0
5,2015-07-17 12:15:00,2015-08-10 14:09:00,2015-08-10 14:09:00,2015-08-18 10:18:00,76546.76,140,119,21,85.0,546.76,119,21,0
6,2015-08-25 12:39:00,2015-09-16 13:29:00,2015-09-16 13:29:00,2015-09-28 09:40:00,53983.16,154,99,55,64.29,350.54,99,55,0
7,2015-10-06 12:01:00,2015-10-29 13:54:00,2015-10-29 13:54:00,2015-11-06 10:27:00,31933.41,78,55,23,70.51,409.4,55,23,0
8,2015-11-17 12:13:00,2015-12-10 14:36:00,2015-12-10 14:36:00,2015-12-18 10:55:00,32553.68,61,51,10,83.61,533.67,51,10,0
9,2015-12-28 14:24:00,2016-01-21 09:50:00,2016-01-21 09:51:00,2016-01-29 12:12:00,449301.61,656,653,3,99.54,684.91,653,3,0
10,2016-02-05 14:48:00,2016-03-01 09:32:00,2016-03-01 09:32:00,2016-03-09 11:51:00,177815.83,291,267,24,91.75,611.05,267,24,0
11,2016-03-16 14:12:00,2016-04-12 09:16:00,2016-04-12 09:16:00,2016-04-22 11:50:00,59253.14,130,98,32,75.38,455.79,98,32,0
12,2016-04-29 14:30:00,2016-05-24 09:53:00,2016-05-24 09:54:00,2016-05-31 12:22:00,2582.92,12,6,6,50.0,215.24,6,6,0
13,2016-06-07 15:22:00,2016-06-30 11:56:00,2016-06-30 11:56:00,2016-07-08 14:54:00,11455.91,29,20,9,68.97,395.03,20,9,0
14,2016-07-18 11:39:00,2016-08-09 13:07:00,2016-08-09 13:07:00,2016-08-18 09:42:00,34961.94,81,59,22,72.84,431.63,59,22,0
15,2016-08-25 12:46:00,2016-09-20 14:47:00,2016-09-20 14:47:00,2016-09-28 11:23:00,859.84,4,2,2,50.0,214.96,2,2,0
16,2016-10-05 14:12:00,2016-11-02 09:15:00,2016-11-02 09:15:00,2016-11-09 12:15:00,-85237.5,337,2,335,0.59,-252.93,2,335,0
17,2016-11-17 14:36:00,2016-12-12 11:01:00,2016-12-12 11:01:00,2016-12-19 14:52:00,846.67,125,35,90,28.0,6.77,35,90,0
