date,stock,entry_price,exit_price,quantity,confidence,gross_profit,brokerage,net_profit,exit_reason
2026-01-21 09:17:00,TCS,3098.6,3090.85,32,0.5878,-247.89,9.9,-257.79,stop_loss
2026-01-21 09:22:00,TCS,3096.3,3088.56,32,0.5873,-247.7,9.9,-257.6,stop_loss
2026-01-21 09:28:00,TCS,3092.5,3084.77,32,0.5907,-247.4,9.88,-257.28,stop_loss
2026-01-21 09:29:00,TCS,3090.5,3082.77,32,0.5948,-247.24,9.88,-257.12,stop_loss
2026-01-21 09:34:00,TCS,3089.2,3105.1,32,0.5808,508.8,9.91,498.89,time_exit
2026-01-21 10:03:00,TCS,3101.0,3104.1,32,0.5843,99.2,9.93,89.27,time_exit
2026-01-22 13:48:00,TCS,3133.7,3130.2,31,0.5913,-108.5,9.71,-118.21,time_exit
2026-01-22 14:50:00,TCS,3150.0,3142.12,31,0.5805,-244.12,9.75,-253.88,stop_loss
2026-01-27 12:04:00,TCS,3154.5,3146.61,31,0.5829,-244.47,9.77,-254.24,stop_loss
2026-01-28 09:30:00,TCS,3187.3,3187.8,31,0.5851,15.5,9.88,5.62,time_exit
2026-01-28 09:31:00,TCS,3186.4,3186.0,31,0.5818,-12.4,9.88,-22.28,time_exit
2026-01-28 09:36:00,TCS,3186.2,3185.1,31,0.6049,-34.1,9.88,-43.98,time_exit
2026-01-28 09:37:00,TCS,3184.0,3185.6,31,0.5959,49.6,9.87,39.73,time_exit
2026-01-28 09:41:00,TCS,3191.8,3183.82,31,0.598,-247.36,9.88,-257.25,stop_loss
2026-01-29 09:16:00,TCS,3176.5,3168.56,31,0.5987,-246.18,9.83,-256.01,stop_loss
2026-01-30 09:22:00,TCS,3093.0,3109.3,32,0.646,521.6,9.92,511.68,time_exit
2026-01-30 09:28:00,TCS,3105.5,3109.1,32,0.584,115.2,9.94,105.26,time_exit
2026-02-01 09:32:00,TCS,3126.4,3118.58,31,0.5863,-242.3,9.68,-251.98,stop_loss
2026-02-02 09:27:00,TCS,3167.7,3189.87,31,0.5826,687.39,9.85,677.54,target
2026-02-02 15:13:00,TCS,3172.2,3164.27,31,0.5841,-245.85,9.82,-255.67,stop_loss
2026-02-04 09:15:00,TCS,3062.0,3054.34,32,0.6848,-244.96,9.79,-254.75,stop_loss
2026-02-04 09:16:00,TCS,3037.0,3058.26,32,0.6916,680.29,9.75,670.54,target
2026-02-04 09:17:00,TCS,3042.3,3063.6,32,0.7393,681.48,9.77,671.71,target
2026-02-04 09:18:00,TCS,3046.2,3038.58,32,0.7458,-243.7,9.74,-253.43,stop_loss
2026-02-04 09:19:00,TCS,3043.0,3054.9,32,0.7062,380.8,9.76,371.04,time_exit
2026-02-04 09:20:00,TCS,3040.8,3062.09,32,0.7617,681.14,9.76,671.37,target
2026-02-04 09:21:00,TCS,3044.4,3056.7,32,0.75,393.6,9.76,383.84,time_exit
2026-02-04 09:22:00,TCS,3051.2,3054.7,32,0.7566,112.0,9.77,102.23,time_exit
2026-02-04 09:23:00,TCS,3048.6,3052.1,32,0.7294,112.0,9.76,102.24,time_exit
2026-02-04 09:24:00,TCS,3051.8,3051.5,32,0.6848,-9.6,9.77,-19.37,time_exit
2026-02-04 09:25:00,TCS,3055.2,3048.5,32,0.6692,-214.4,9.77,-224.17,time_exit
2026-02-04 09:26:00,TCS,3059.0,3051.35,32,0.6796,-244.72,9.78,-254.5,stop_loss
2026-02-04 09:27:00,TCS,3061.6,3053.95,32,0.6612,-244.93,9.78,-254.71,stop_loss
